word,answer
a (noun),"eɪ
the first letter of the English alphabet."
abandon (verb),"əˈbæn.dən
to leave a place, thing, or person, usually for ever."
abandon (noun),"əˈbæn.dən
in a completely uncontrolled way."
ability (noun),"əˈbɪl.ə.ti
the physical or mental power or skill needed to do something."
able (adjective),"ˈeɪ.bəl
to have the necessary physical strength, mental power, skill, time, money, or opportunity to do something."
abolish (verb),"əˈbɒl.ɪʃ
to end an activity or custom officially."
abortion (noun),"əˈbɔː.ʃən
the intentional ending of a pregnancy."
about (adverb),"əˈbaʊt
a little more or less than the stated number or amount."
about (adjective),"əˈbaʊt
to be going to do something very soon."
about (preposition),"əˈbaʊt
on the subject of, or connected with."
above (adverb),"əˈbʌv
in or to a higher position than something else."
above (adverb),"əˈbʌv
When used in a piece of writing, ""above"" means higher on the page, or on a previous page."
abroad (adverb),"əˈbrɔːd
in or to a foreign country or countries."
absence (noun),"ˈæb.səns
the fact of not being where you are usually expected to be."
absent (adjective),"ˈæb.sənt
not in the place where you are expected to be, especially at school or work."
absent (preposition),"ˈæb.sənt
without."
absent (verb),"æbˈsent
to not go to a place where you are expected to be, especially a school or place of work."
absolute (adjective),"ˈæb.sə.luːt
very great or to the largest degree possible."
absolutely (adverb),"ˌæb.səˈluːt.li
completely."
absorb (verb),"əbˈzɔːb
to take something in, especially gradually."
abstract (verb),"æbˈstrækt
to consider something in a general way or make a general judgment after looking at particular details."
abstract (adjective),"ˈæb.strækt
existing as an idea, feeling, or quality, not as a material object."
abstract (noun),"ˈæb.strækt
a short form of a speech, article, book, etc., giving only the most important facts or ideas."
absurd (adjective),"əbˈsɜːd
stupid and unreasonable, or silly in a humorous way."
abundance (noun),"əˈbʌn.dəns
the situation in which there is more than enough of something."
abuse (verb),"əˈbjuːz
to use something for the wrong purpose in a way that is harmful or morally wrong."
abuse (noun),"əˈbjuːs
the use of something in a way that is harmful or morally wrong."
academic (noun),"ˌæk.əˈdem.ɪk
someone who teaches at a college, or who studies as part of their job."
academic (adjective),"ˌæk.əˈdem.ɪk
relating to schools, colleges, and universities, or connected with studying and thinking, not with practical skills."
academy (noun),"əˈkæd.ə.mi
an organization intended to protect and develop an art, science, language, etc., or a school that teaches a particular subject or trains people for a particular job."
accelerate (verb),"əkˈsel.ə.reɪt
When a vehicle or its driver accelerates, the speed of the vehicle increases."
accent (noun),"ˈæk.sənt
the way in which people in a particular area, country, or social group pronounce words."
accent (verb),"ˈæk.sənt
to emphasize something."
accept (verb),"əkˈsept
to agree to take something."
acceptable (adjective),"əkˈsept.ə.bəl
satisfactory and able to be agreed to or approved of."
acceptance (noun),"əkˈsep.təns
general agreement that something is satisfactory or right, or that someone should be included in a group."
access (noun),"ˈæk.ses
the method or possibility of getting near to a place or person."
access (verb),"ˈæk.ses
to be able to get to or get inside a place."
accessible (adjective),"əkˈses.ə.bəl
able to be reached or easily obtained ."
accident (noun),"ˈæk.sɪ.dənt
something bad that happens that is not expected or intended and that often damages something or injures someone."
accidentally (adverb),"ˌæk.sɪˈden.təl.i
by chance or by mistake."
accommodate (verb),"əˈkɒm.ə.deɪt
to provide with a place to live or to be stored in."
accommodation (noun),"əˌkɒm.əˈdeɪ.ʃən
a place to stay or live."
accompany (verb),"əˈkʌm.pə.ni
to go with someone or to be provided or exist at the same time as something."
accomplish (verb),"əˈkʌm.plɪʃ
to finish something successfully or to achieve something."
