word,answer
about (adverb),"əˈbaʊt
a little more or less than the stated number or amount."
about (preposition),"əˈbaʊt
on the subject of, or connected with."
above (adverb),"əˈbʌv
in or to a higher position than something else."
ad (noun),"æd
informal for an advertisement."
address (noun),"əˈdres
the number of the house, name of the road, and name of the town where a person lives or works, and where letters can be sent."
adult (noun),"ˈæd.ʌlt
a person or animal that has grown to full size and strength."
after (preposition),"ˈɑːf.tər
following in time, place, or order."
afternoon (noun),"ˌɑːf.təˈnuːn
the period that starts at about twelve o'clock or after the meal in the middle of the day and ends at about six o'clock or when the sun goes down."
again (adverb),"əˈɡen
one more time."
age (noun),"eɪdʒ
the period of time someone has been alive or something has existed."
all (determiner),"ɔːl
every one (of), or the complete amount or number (of), or the whole (of)."
all right (adjective),"ˌɔːl ˈraɪt
(in a way that is) satisfactory or reasonably good."
also (adverb),"ˈɔːl.səʊ
in addition."
always (adverb),"ˈɔːl.weɪz
every time or all the time."
and (conjunction),"ænd
used to join two words, phrases, parts of sentences, or related statements together."
animal (noun),"ˈæn.ɪ.məl
something that lives and moves but is not a human, bird, fish, or insect."
answer (verb),"ˈɑːn.sər
to say, write, or do something as a reaction to a question, letter, etc.."
answer (noun),"ˈɑːn.sər
a reaction to a question, letter, phone call, etc.."
any (determiner),"ˈen.i
some, or even the smallest amount or number of."
anything (pronoun),"ˈen.i.θɪŋ
used in questions and negatives to mean ""something""."
apple (noun),"ˈæp.əl
a round fruit with firm, white flesh and a green, red, or yellow skin."
april (noun),"ˈeɪ.prəl
the fourth month of the year, after March and before May."
arm (noun),"ɑːm
either of the two long parts of the upper body that are attached to the shoulders and have the hands at the end."
as (preposition),"æz
used to describe the purpose or quality of someone or something."
at (preposition),"æt
used to show an exact position or particular place."
august (noun),"ˈɔː.ɡəst
the eighth month of the year, after July and before September."
baby (noun),"ˈbeɪ.bi
a very young child, especially one that has not yet begun to walk or talk."
bad (adjective),"bæd
unpleasant and causing difficulties."
bag (noun),"bæɡ
a soft container made out of paper or thin plastic, and open at the top, used to hold foods and other goods."
ball (noun),"bɔːl
any object in the shape of a sphere, especially one used as a toy by children or in various sports such as tennis and football."
banana (noun),"bəˈnɑː.nə
a long, curved fruit with a yellow skin and soft, sweet, white flesh inside."
band (noun),"bænd
a group of musicians who play modern music together."
