word,answer
able (adjective),"ˈeɪ.bəl
to have the necessary physical strength, mental power, skill, time, money, or opportunity to do something."
accident (noun),"ˈæk.sɪ.dənt
something bad that happens that is not expected or intended and that often damages something or injures someone."
across (adverb),"əˈkrɒs
from one side to the other of something with clear limits, such as an area of land, a road, or a river."
across (preposition),"əˈkrɒs
on the opposite side of."
actor (noun),"ˈæk.tər
someone who pretends to be someone else while performing in a film, play, or television or radio programme."
actually (adverb),"ˈæk.tʃu.ə.li
in fact or really."
add (verb),"æd
to put two or more numbers or amounts together to get a total."
adult (adjective),"ˈæd.ʌlt
grown to full size and strength."
adventure (noun),"ədˈven.tʃər
an unusual, exciting, and possibly dangerous activity, such as a trip or experience, or the excitement produced by such an activity."
advertisement (noun),"ədˈvɜː.tɪs.mənt
a picture, short film, song, etc. that tries to persuade people to buy a product or service."
advice (noun),"ədˈvaɪs
an opinion that someone offers you about what you should do or how you should act in a particular situation."
afraid (adjective),"əˈfreɪd
feeling fear, or feeling worry about the possible results of a particular situation."
after (adverb),"ˈɑːf.tər
later than someone or something else."
afterwards (adverb),"ˈɑːf.tə.wədz
after the time mentioned."
against (preposition),"əˈɡenst
disagreeing with a plan or activity."
aged (adjective),"ˈeɪ.dʒɪd
of the age of."
ago (adverb),"əˈɡəʊ
back in time from the present."
agree (verb),"əˈɡriː
to have the same opinion."
air (noun),"eər
the mixture of gases that surrounds the earth and that we breathe."
airport (noun),"ˈeə.pɔːt
a place where aircraft regularly take off and land, with buildings for passengers to wait in."
album (noun),"ˈæl.bəm
a collection of several pieces of music, made available as a single item on a CD, the internet, etc.."
alcohol (noun),"ˈæl.kə.hɒl
a clear liquid that can make you drunk, also used as a solvent (= a substance that dissolves another) and in fuel and medicines."
all (adverb),"ɔːl
completely."
almost (adverb),"ˈɔːl.məʊst
nearly."
alone (adjective),"əˈləʊn
without other people."
along (preposition),"əˈlɒŋ
from one part of a road, river, etc. to another."
already (adverb),"ɔːlˈred.i
before the present time."
ambulance (noun),"ˈæm.bjə.ləns
a special vehicle used to take sick or injured people to hospital."
angry (adjective),"ˈæŋ.ɡri
having a strong feeling against someone who has behaved badly, making you want to shout at them or hurt them."
another (determiner),"əˈnʌð.ər
one more person or thing or an extra amount."
any more (adverb),"ˌen.iˈmɔːr
If you do not do something or something does not happen anymore, you have stopped doing it or it does not now happen."
anyone (pronoun),"ˈen.i.wʌn
used in questions and negatives to mean ""a person or people""."
anyway (adverb),"ˈen.i.weɪ
whatever else is happening, without considering other things."
anywhere (adverb),"ˈen.i.weər
in, to, or at any place."
apartment (noun),"əˈpɑːt.mənt
a set of rooms for living in, especially on one floor of a building."
appointment (noun),"əˈpɔɪnt.mənt
a formal arrangement to meet or visit someone at a particular time and place."
around (adverb),"əˈraʊnd
approximately."
