word,answer
abandon (verb),"əˈbæn.dən
to leave a place, thing, or person, usually for ever."
abolish (verb),"əˈbɒl.ɪʃ
to end an activity or custom officially."
absence (noun),"ˈæb.səns
the fact of not being where you are usually expected to be."
absolute (adjective),"ˈæb.sə.luːt
very great or to the largest degree possible."
absorb (verb),"əbˈzɔːb
to take something in, especially gradually."
abstract (adjective),"ˈæb.strækt
existing as an idea, feeling, or quality, not as a material object."
absurd (adjective),"əbˈsɜːd
stupid and unreasonable, or silly in a humorous way."
abuse (noun),"əˈbjuːs
the use of something in a way that is harmful or morally wrong."
academic (adjective),"ˌæk.əˈdem.ɪk
relating to schools, colleges, and universities, or connected with studying and thinking, not with practical skills."
accessible (adjective),"əkˈses.ə.bəl
able to be reached or easily obtained ."
accuracy (noun),"ˈæk.jə.rə.si
the fact of being exact or correct."
accuse (verb),"əˈkjuːz
to say that someone has done something morally wrong, illegal, or unkind."
acid (noun),"ˈæs.ɪd
any of various usually liquid substances that can react with and sometimes dissolve other materials."
acquire (verb),"əˈkwaɪər
to get or obtain something."
act (noun),"ækt
something that you do."
action (noun),"ˈæk.ʃən
the process of doing something, especially when dealing with a problem or difficulty."
activity (noun),"ækˈtɪv.ə.ti
the situation in which a lot of things are happening or people are moving around."
actual (adjective),"ˈæk.tʃu.əl
existing in fact."
adapt (verb),"əˈdæpt
to change, or to change something, to suit different conditions or uses."
addition (noun),"əˈdɪʃ.ən
the process of adding numbers or amounts together."
additional (adjective),"əˈdɪʃ.ən.əl
extra."
additionally (adverb),"əˈdɪʃ.ən.əl.i
also or in addition."
adequate (adjective),"ˈæd.ə.kwət
enough or satisfactory for a particular purpose."
adequately (adverb),"ˈæd.ə.kwət.li
in a way that is enough or satisfactory for a particular purpose."
adjust (verb),"əˈdʒʌst
to change something slightly, especially to make it more correct, effective, or suitable."
adjustment (noun),"əˈdʒʌst.mənt
a small change."
adopt (verb),"əˈdɒpt
to legally take another person's child into your own family and take care of him or her as your own child."
adoption (noun),"əˈdɒp.ʃən
the act of legally taking a child to be taken care of as your own."
advance (noun),"ədˈvɑːns
the forward movement of something, or an improvement or development in something."
advertising (noun),"ˈæd.və.taɪ.zɪŋ
the business of trying to persuade people to buy products or services."
affair (noun),"əˈfeər
a situation or subject that is being dealt with or considered."
affect (verb),"əˈfekt
to have an influence on someone or something, or to cause a change in someone or something."
affection (noun),"əˈfek.ʃən
a feeling of liking for a person or place."
agent (noun),"ˈeɪ.dʒənt
a person who acts for or represents another."
aggressive (adjective),"əˈɡres.ɪv
showing anger and a willingness to attack other people."
agreement (noun),"əˈɡriː.mənt
the situation in which people have the same opinion, or in which they approve of or accept something."
agriculture (noun),"ˈæɡ.rɪ.kʌl.tʃər
farming."
aircraft (noun),"ˈeə.krɑːft
any vehicle, with or without an engine, that can fly, such as a plane or helicopter."
alike (adverb),"əˈlaɪk
in a similar way."
alter (verb),"ˈɒl.tər
to change something, usually slightly, or to cause the characteristics of something to change."
alternative (adjective),"ɒlˈtɜː.nə.tɪv
An alternative plan or method is one that you can use if you do not want to use another one."
alternative (noun),"ɒlˈtɜː.nə.tɪv
something that is different from something else, especially from what is usual, and offering the possibility of choice."
aluminium (noun),"ˌæl.jəˈmɪn.i.əm
a chemical element that is a light, silver-coloured metal, used especially for making cooking equipment and aircraft parts."
ambassador (noun),"æmˈbæs.ə.dər
an important official who works in a foreign country representing his or her own country there, and who is officially accepted in this position by that country."
ambitious (adjective),"æmˈbɪʃ.əs
having a strong wish to be successful, powerful, or rich."
analysis (noun),"əˈnæl.ə.sɪs
the act of studying or examining something in detail, in order to discover or understand more about it, or your opinion and judgment after doing this."
analyst (noun),"ˈæn.ə.lɪst
someone whose job is to study or examine something in detail, in order to discover or understand more about it and often to make predictions (= statements about what will happen in the future) relating to it ."
ancestor (noun),"ˈæn.ses.tər
a person related to you who lived a long time ago."
anger (noun),"ˈæŋ.ɡər
a strong feeling that makes you want to hurt someone or be unpleasant because of something unfair or unkind that has happened."
annually (adverb),"ˈæn.ju.ə.li
once every year."
anxiety (noun),"æŋˈzaɪ.ə.ti
an uncomfortable feeling of nervousness or worry about something that is happening or might happen in the future."
apart (adjective),"əˈpɑːt
living or staying in a different place from the person that you are married to or have a close relationship with."
apparent (adjective),"əˈpær.ənt
able to be seen or understood."
apparently (adverb),"əˈpær.ənt.li
used to say you have read or been told something although you are not certain it is true."
appearance (noun),"əˈpɪə.rəns
an occasion when someone appears in public."
appreciate (verb),"əˈpriː.ʃi.eɪt
to recognize how good someone or something is and to value them or it."
appreciation (noun),"əˌpriː.ʃiˈeɪ.ʃən
the act of recognizing or understanding that something is valuable, important, or as described."
approach (noun),"əˈprəʊtʃ
a way of considering or doing something."
appropriate (adjective),"əˈprəʊ.pri.ət
suitable or right for a particular situation or occasion."
appropriately (adverb),"əˈprəʊ.pri.ət.li
in a way that is suitable or right for a particular situation or occasion."
approval (noun),"əˈpruː.vəl
the feeling of having a positive opinion of someone or something."
approve (verb),"əˈpruːv
to have a positive opinion of someone or something."
armed (adjective),"ɑːmd
using or carrying weapons."
arrest (noun),"əˈrest
the act of arresting someone."
arrow (noun),"ˈær.əʊ
a weapon that is like a long, thin stick with a sharp point at one end and often feathers at the other, shot from a bow (= a long, thin piece of wood bent into a curve by a piece of string)."
artificial (adjective),"ˌɑː.tɪˈfɪʃ.əl
made by people, often as a copy of something natural."
artistic (adjective),"ɑːˈtɪs.tɪk
relating to art."
aside (adverb),"əˈsaɪd
on or to one side."
aspect (noun),"ˈæs.pekt
one part of a situation, problem, subject, etc.."
assess (verb),"əˈses
to judge or decide the amount, value, quality, or importance of something."
assessment (noun),"əˈses.mənt
the act of judging or deciding the amount, value, quality, or importance of something, or the judgment or decision that is made."
assist (verb),"əˈsɪst
to help."
assistance (noun),"əˈsɪs.təns
help."
association (noun),"əˌsəʊ.siˈeɪ.ʃən
a group of people who work together in a single organization for a particular purpose."
assume (verb),"əˈsjuːm
to accept something to be true without question or proof."
assure (verb),"əˈʃɔːr
to tell someone confidently that something is true, especially so that they do not worry."
astonishing (adjective),"əˈstɒn.ɪ.ʃɪŋ
very surprising."
attachment (noun),"əˈtætʃ.mənt
an extra piece of equipment that can be added to a machine."
attempt (noun),"əˈtempt
the act of trying to do something, especially something difficult."
authority (noun),"ɔːˈθɒr.ə.ti
the moral or legal right or ability to control."
automatic (adjective),"ˌɔː.təˈmæt.ɪk
An automatic machine or device is able to operate independently of human control."
automatically (adverb),"ˌɔː.təˈmæt.ɪ.kəl.i
If a machine or device does something automatically, it does it independently, without human control."
availability (noun),"əˌveɪ.ləˈbɪl.ə.ti
the fact that something can be bought, used, or reached, or how much it can be."
award (verb),"əˈwɔːd
to give money or a prize following an official decision."
award (noun),"əˈwɔːd
a prize or an amount of money that is given to someone following an official decision."
aware (adjective),"əˈweər
knowing that something exists, or having knowledge or experience of a particular thing."
awkward (adjective),"ˈɔː.kwəd
difficult to use, do, or deal with."
back (adverb),"bæk
in, into, or towards a previous place or condition, or an earlier time."
background (noun),"ˈbæk.ɡraʊnd
the things that can be seen behind the main things or people in a picture."
