word,answer
abortion (noun),"əˈbɔː.ʃən
the intentional ending of a pregnancy."
accomplish (verb),"əˈkʌm.plɪʃ
to finish something successfully or to achieve something."
accordance (noun),"əˈkɔː.dəns
following or obeying a rule, law, wish, etc.."
accusation (noun),"ˌæk.jəˈzeɪ.ʃən
a statement saying that someone has done something morally wrong, illegal, or unkind, or the fact of accusing someone."
acknowledge (verb),"əkˈnɒl.ɪdʒ
to accept, admit, or recognize something, or the truth or existence of something."
adaptation (noun),"ˌæd.əpˈteɪ.ʃən
the process of changing to suit different conditions."
administration (noun),"ədˌmɪn.ɪˈstreɪ.ʃən
the arrangements and tasks needed to control the operation of a plan or organization."
administrative (adjective),"ədˈmɪn.ɪ.strə.tɪv
relating to the arrangements and work that is needed to control the operation of a plan or organization."
administrator (noun),"ədˈmɪn.ɪ.streɪ.tər
someone whose job is to control the operation of a business, organization, or plan."
agenda (noun),"əˈdʒen.də
a list of matters to be discussed at a meeting."
aggression (noun),"əˈɡreʃ.ən
spoken or physical behaviour that is threatening or involves harm to someone or something."
aid (verb),"eɪd
to help."
alarm (verb),"əˈlɑːm
to make someone worried or frightened."
alert (adjective),"əˈlɜːt
quick to see, understand, and act in a particular situation."
alert (noun),"əˈlɜːt
a warning to people to be prepared to deal with something dangerous."
allegation (noun),"ˌæl.əˈɡeɪ.ʃən
a statement, made without giving proof, that someone has done something wrong or illegal."
allocate (verb),"ˈæl.ə.keɪt
to give something to someone as their share of a total amount, to use in a particular way."
allowance (noun),"əˈlaʊ.əns
money that you are given regularly, especially to pay for a particular thing."
alongside (preposition),"əˌlɒŋˈsaɪd
next to, or together with."
amateur (noun),"ˈæm.ə.tər
a person who takes part in an activity for pleasure, not as a job."
amateur (adjective),"ˈæm.ə.tər
taking part in an activity for pleasure, not as a job."
amid (preposition),"əˈmɪd
in the middle of or surrounded by."
angle (noun),"ˈæŋ.ɡəl
the space between two lines or surfaces at the point at which they touch each other, measured in degrees."
anticipate (verb),"ænˈtɪs.ɪ.peɪt
to imagine or expect that something will happen."
appeal (noun),"əˈpiːl
a request to the public for money, information, or help."
appeal (verb),"əˈpiːl
to make a serious or formal request, especially to the public, for money, information, or help."
appetite (noun),"ˈæp.ə.taɪt
the feeling that you want to eat food."
applaud (verb),"əˈplɔːd
to show enjoyment or approval of something such as a performance or speech by clapping the hands repeatedly to make a noise."
appoint (verb),"əˈpɔɪnt
to choose someone officially for a job or responsibility."
arise (verb),"əˈraɪz
to start to happen or exist."
asset (noun),"ˈæs.et
a useful or valuable quality, skill, or person."
assign (verb),"əˈsaɪn
to give a particular job or piece of work to someone."
associate (verb),"əˈsəʊ.si.eɪt
to connect someone or something in your mind with someone or something else."
assumption (noun),"əˈsʌmp.ʃən
something that you accept as true without question or proof."
assurance (noun),"əˈʃɔː.rəns
a promise."
attain (verb),"əˈteɪn
to reach or succeed in getting something."
attendance (noun),"əˈten.dəns
the fact of going somewhere such as a church, school, etc. regularly."
attorney (noun),"əˈtɜː.ni
a 
lawyer ."
auction (noun),"ˈɔːk.ʃən
a usually public sale of goods or property, where people make higher and higher bids (= offers of money) for each thing, until the thing is sold to the person who will pay most."
authentic (adjective),"ɔːˈθen.tɪk
If something is authentic, it is real, true, or what people say it is."
authorize (verb),"ˈɔː.θər.aɪz
to give official permission for something to happen, or to give someone official permission to do something."
awareness (noun),"əˈweə.nəs
knowledge that something exists, or understanding of a situation or subject at the present time based on information or experience."
away (adjective),"əˈweɪ
An away match or game is played at an opposing team's sports ground."
basis (noun),"ˈbeɪ.sɪs
the most important facts, ideas, etc. from which something is developed."
behind (preposition),"bɪˈhaɪnd
responsible for or the cause of."
bet (verb),"bet
to risk money on the result of an event or a competition, such as a horse race, in the hope of winning more money."
boundary (noun),"ˈbaʊn.dər.i
a real or imagined line that marks the edge or limit of something."
broadly (adverb),"ˈbrɔːd.li
in a general way, without considering specific examples or all the details."
brutal (adjective),"ˈbruː.təl
cruel, violent, and completely without feelings."
bubble (noun),"ˈbʌb.əl
a ball of gas that appears in a liquid, or a ball formed of air surrounded by liquid that floats in the air."
campaign (noun),"kæmˈpeɪn
a planned group of especially political, business, or military activities that are intended to achieve a particular aim."
campaign (verb),"kæmˈpeɪn
to organize a series of activities to try to achieve something."
cap (verb),"kæp
to put a limit on the amount of money that can be charged or spent in connection with a particular activity."
capability (noun),"ˌkeɪ.pəˈbɪl.ə.ti
the ability to do something."
cater (verb),"ˈkeɪ.tər
to provide, and sometimes serve, food."
caution (noun),"ˈkɔː.ʃən
great care and attention."
civil (adjective),"ˈsɪv.əl
not military or religious, or relating to the ordinary people of a country."
claim (noun),"kleɪm
a statement that something is true or is a fact, although other people might not believe it."
clarify (verb),"ˈklær.ɪ.faɪ
to make something clear or easier to understand by giving more details or a simpler explanation."
class (verb),"klɑːs
to consider someone or something to belong to a particular group because of their qualities."
classify (verb),"ˈklæs.ɪ.faɪ
to divide things or people into groups according to their type, or to say which group or type something or someone belongs to."
clinical (adjective),"ˈklɪn.ɪ.kəl
used to refer to medical work or teaching that relates to the examination and treatment of ill people."
coal (noun),"kəʊl
a hard, black substance that is dug from the earth in pieces, and can be burned to produce heat or power, or a single piece of this."
collaborate (verb),"kəˈlæb.ə.reɪt
to work with someone else for a special purpose."
collaboration (noun),"kəˌlæb.əˈreɪ.ʃən
the situation of two or more people working together to create or achieve the same thing."
commodity (noun),"kəˈmɒd.ə.ti
a substance or product that can be traded, bought, or sold."
commonly (adverb),"ˈkɒm.ən.li
often or usually."
comparable (adjective),"ˈkɒm.pər.ə.bəl
similar in size, amount, or quality to something else."
comparative (adjective),"kəmˈpær.ə.tɪv
comparing different things."
compensate (verb),"ˈkɒm.pən.seɪt
to pay someone money in exchange for something that has been lost or damaged or for some problem."
competence (noun),"ˈkɒm.pɪ.təns
the ability to do something well."
competent (adjective),"ˈkɒm.pɪ.tənt
able to do something well."
compile (verb),"kəmˈpaɪl
to collect information from different places and arrange it in a book, report, or list."
completion (noun),"kəmˈpliː.ʃən
the act of finishing something that you are doing or making."
complex (noun),"ˈkɒm.pleks
a large building with various connected rooms or a related group of buildings."
complication (noun),"ˌkɒm.plɪˈkeɪ.ʃən
something that makes a situation more difficult, or the act of doing this."
comply (verb),"kəmˈplaɪ
to act according to an order, set of rules, or request."
component (noun),"kəmˈpəʊ.nənt
a part that combines with other parts to form something bigger."
comprehensive (adjective),"ˌkɒm.prɪˈhen.sɪv
complete and including everything that is necessary."
comprise (verb),"kəmˈpraɪz
to have things or people as parts or members; to consist of."
concern (verb),"kənˈsɜːn
to cause worry to someone."
conclude (verb),"kənˈkluːd
to end a speech, meeting, or piece of writing."
concrete (adjective),"ˈkɒŋ.kriːt
clear and certain, or real and existing in a form that can be seen or felt."
conquer (verb),"ˈkɒŋ.kər
to take control or possession of foreign land, or a group of people, by force."
