word,answer
a (noun),"eɪ
the first letter of the English alphabet."
abandon (noun),"əˈbæn.dən
in a completely uncontrolled way."
absent (preposition),"ˈæb.sənt
without."
absent (verb),"æbˈsent
to not go to a place where you are expected to be, especially a school or place of work."
abstract (verb),"æbˈstrækt
to consider something in a general way or make a general judgment after looking at particular details."
abstract (noun),"ˈæb.strækt
a short form of a speech, article, book, etc., giving only the most important facts or ideas."
abundance (noun),"əˈbʌn.dəns
the situation in which there is more than enough of something."
abuse (verb),"əˈbjuːz
to use something for the wrong purpose in a way that is harmful or morally wrong."
academic (noun),"ˌæk.əˈdem.ɪk
someone who teaches at a college, or who studies as part of their job."
academy (noun),"əˈkæd.ə.mi
an organization intended to protect and develop an art, science, language, etc., or a school that teaches a particular subject or trains people for a particular job."
accent (verb),"ˈæk.sənt
to emphasize something."
acceptance (noun),"əkˈsep.təns
general agreement that something is satisfactory or right, or that someone should be included in a group."
access (verb),"ˈæk.ses
to be able to get to or get inside a place."
accommodate (verb),"əˈkɒm.ə.deɪt
to provide with a place to live or to be stored in."
accomplishment (noun),"əˈkʌm.plɪʃ.mənt
something that is successful, or that is achieved after a lot of work or effort."
accordingly (adverb),"əˈkɔː.dɪŋ.li
in a way that is suitable or right for the situation."
account (verb),"əˈkaʊnt
to think of someone or something in the stated way."
accountability (noun),"əˌkaʊn.təˈbɪl.ə.ti
the fact of being responsible for what you do and able to give a satisfactory reason for it, or the degree to which this happens."
accounting (noun),"əˈkaʊn.tɪŋ
the skill or activity of keeping records of the money a person or organization earns and spends."
accused (noun),"əˈkjuːzd
the person who is on trial in a law court."
acid (adjective),"ˈæs.ɪd
containing acid, or having similar qualities to an acid."
acquisition (noun),"ˌæk.wɪˈzɪʃ.ən
the process of getting something."
act (verb),"ækt
to behave in the stated way."
action (verb),"ˈæk.ʃən
to do something to deal with a particular problem or matter."
activate (verb),"ˈæk.tɪ.veɪt
to cause something to start."
activation (noun),"ˌæk.tɪˈveɪ.ʃən
the act of making something start or making it start working."
active (noun),"ˈæk.tɪv
→ 
the active voice ."
activist (noun),"ˈæk.tɪ.vɪst
a person who believes strongly in political or social change and takes part in activities such as public protests to try to make this happen."
actress (noun),"ˈæk.trəs
a woman who pretends to be someone else while performing in a film, play, or television programme."
acute (adjective),"əˈkjuːt
If a bad situation is acute, it causes severe problems or damage."
acute (noun),"əˈkjuːt
a sign that is written above a letter in some languages, showing you how to pronounce the letter."
adhere (verb),"ədˈhɪər
to stick firmly."
administer (verb),"ədˈmɪn.ɪ.stər
to control the operation or arrangement of something."
admission (noun),"ədˈmɪʃ.ən
the act of agreeing that something is true, especially unwillingly."
adolescent (adjective),"ˌæd.əˈles.ənt
being or relating to an adolescent."
advance (adjective),"ədˈvɑːns
happening, done, or ready before an event."
advance (verb),"ədˈvɑːns
to go or move something forward, or to develop or improve something."
advantage (verb),"ədˈvɑːn.tɪdʒ
to make someone or something more likely to be successful by creating a situation that helps them."
advocate (noun),"ˈæd.və.kət
a lawyer who speaks for or defends someone in a court of law."
aesthetic (noun),"esˈθet.ɪk
a set of principles used in a particular artistic movement (= a group of artists with the same ideas or style)."
aesthetic (adjective),"esˈθet.ɪk
relating to the enjoyment or study of beauty."
affordable (adjective),"əˈfɔː.də.bəl
not expensive."
aftermath (noun),"ˈɑːf.tə.mæθ
the period that follows an unpleasant event or accident, and the effects that it causes."
afternoon (exclamation),"ˌɑːf.təˈnuːn
a friendly way of greeting someone when you meet them in the afternoon."
age (verb),"eɪdʒ
If someone ages or something ages them, they look older."
aged (noun),"ˈeɪ.dʒɪd
old people when considered as a group."
agricultural (adjective),"ˌæɡ.rɪˈkʌl.tʃər.əl
used for farming or relating to farming."
ah (exclamation),"ɑː
used to express understanding, pleasure, pain, surprise, or the fact that you have noticed something."
aid (noun),"eɪd
help or support."
aide (noun),"eɪd
a person whose job is to help someone important, such as a member of a government or a military officer of high rank."
aids (noun),"eɪdz
abbreviation for Acquired Immune Deficiency Syndromea serious disease caused by a virus that destroys the body's natural protection from infection."
air (verb),"eər
to make opinions or complaints known to other people."
alarm (noun),"əˈlɑːm
a warning of danger, usually a loud noise or flashing light."
alien (adjective),"ˈeɪ.li.ən
relating to creatures from another planet."
alien (noun),"ˈeɪ.li.ən
a creature from a different planet."
align (verb),"əˈlaɪn
to put two or more things into a straight line, or to form a straight line."
alignment (noun),"əˈlaɪn.mənt
an arrangement in which two or more things are positioned in a straight line or parallel to each other."
all right (exclamation),"ˌɔːl ˈraɪt
used to greet someone at the same time as asking if they are well."
altogether (noun),"ˌɔːl.təˈɡeð.ər
to be naked."
analyse (verb),"ˈæn.əl.aɪz
to study or examine something in detail in order to discover or understand more about it."
anger (verb),"ˈæŋ.ɡər
to make someone angry."
angle (verb),"ˈæŋ.ɡəl
to aim, turn, or position something in a direction that is not horizontal or vertical."
animal (adjective),"ˈæn.ɪ.məl
made or obtained from an animal or animals."
animation (noun),"ˌæn.ɪˈmeɪ.ʃən
enthusiasm and energy."
annual (noun),"ˈæn.ju.əl
a book or magazine published once a year, especially for children, with the same title and style but different contents."
anybody (pronoun),"ˈen.iˌbɒd.i
→ 
anyone ."
app (noun),"æp
abbreviation for applicationa computer program that is designed for a particular purpose."
apparatus (noun),"ˌæp.əˈreɪ.təs
a set of equipment or tools or a machine that is used for a particular purpose."
appealing (adjective),"əˈpiː.lɪŋ
attractive or interesting."
applicable (adjective),"əˈplɪk.ə.bəl
affecting or relating to a person or thing."
applicant (noun),"ˈæp.lɪ.kənt
a person who formally requests something, especially a job, or to study at a college or university."
appropriate (verb),"əˈprəʊ.pri.eɪt
to take something for your own use, usually without permission."
architectural (adjective),"ˌɑː.kɪˈtek.tʃər.əl
relating to architecture."
archive (verb),"ˈɑː.kaɪv
to store historical records or documents in an archive."
archive (noun),"ˈɑː.kaɪv
a collection of historical records relating to a place, organization, or family."
arena (noun),"əˈriː.nə
a large, flat area surrounded by seats used for sports or entertainment."
arguably (adverb),"ˈɑːɡ.ju.ə.bli
used when stating an opinion or belief that you think can be shown to be true."
arm (verb),"ɑːm
to provide yourself or others with a weapon or weapons."
arms (noun),"ɑːmz
→ 
arm ."
array (verb),"əˈreɪ
to arrange a group of things in a particular way."
array (noun),"əˈreɪ
a large group of things or people, especially one that is attractive or causes admiration or has been positioned in a particular way."
art (verb),"ɑːt
in the past, the second person singular of the present tense of ""be""."
articulate (verb),"ɑːˈtɪk.jə.leɪt
to express in words."
articulate (adjective),"ɑːˈtɪk.jə.lət
able to express thoughts and feelings easily and clearly, or showing this quality."
