,vocab,sound,pos,cefr_level,definition
0,a,eɪ,noun,none,the first letter of the English alphabet.
1,abandon,əˈbæn.dən,verb,B2,"to leave a place, thing, or person, usually for ever."
2,abandon,əˈbæn.dən,noun,none,in a completely uncontrolled way.
3,ability,əˈbɪl.ə.ti,noun,B1,the physical or mental power or skill needed to do something.
4,able,ˈeɪ.bəl,adjective,A2,"to have the necessary physical strength, mental power, skill, time, money, or opportunity to do something."
5,about,əˈbaʊt,preposition,A1,"on the subject of, or connected with."
6,about,əˈbaʊt,adverb,A1,a little more or less than the stated number or amount.
7,about,əˈbaʊt,adjective,B1,to be going to do something very soon.
8,above,əˈbʌv,adverb,A1,in or to a higher position than something else.
9,above,əˈbʌv,adverb,B1,"When used in a piece of writing, ""above"" means higher on the page, or on a previous page."
10,abroad,əˈbrɔːd,adverb,B1,in or to a foreign country or countries.
11,absolute,ˈæb.sə.luːt,adjective,B2,very great or to the largest degree possible.
12,absolutely,ˌæb.səˈluːt.li,adverb,B1,completely.
13,academic,ˌæk.əˈdem.ɪk,adjective,B2,"relating to schools, colleges, and universities, or connected with studying and thinking, not with practical skills."
14,academic,ˌæk.əˈdem.ɪk,noun,none,"someone who teaches at a college, or who studies as part of their job."
15,accept,əkˈsept,verb,B1,to agree to take something.
16,acceptable,əkˈsept.ə.bəl,adjective,B1,satisfactory and able to be agreed to or approved of.
17,access,ˈæk.ses,noun,B1,the method or possibility of getting near to a place or person.
18,access,ˈæk.ses,verb,none,to be able to get to or get inside a place.
19,accident,ˈæk.sɪ.dənt,noun,A2,something bad that happens that is not expected or intended and that often damages something or injures someone.
20,accommodation,əˌkɒm.əˈdeɪ.ʃən,noun,B1,a place to stay or live.
21,accompany,əˈkʌm.pə.ni,verb,B1,to go with someone or to be provided or exist at the same time as something.
22,according to,əˈkɔː.dɪŋ ˌtuː,preposition,B1,as stated by.
23,account,əˈkaʊnt,noun,B1,an arrangement with a bank to keep your money there and to allow you to take it out when you need to.
24,account,əˈkaʊnt,verb,none,to think of someone or something in the stated way.
25,accurate,ˈæk.jə.rət,adjective,B1,"correct, exact, and without any mistakes."
26,accuse,əˈkjuːz,verb,B2,"to say that someone has done something morally wrong, illegal, or unkind."
27,achieve,əˈtʃiːv,verb,B1,"to succeed in finishing something or reaching an aim, especially after a lot of work or effort."
28,achievement,əˈtʃiːv.mənt,noun,B1,something very good and difficult that you have succeeded in doing.
29,acknowledge,əkˈnɒl.ɪdʒ,verb,C1,"to accept, admit, or recognize something, or the truth or existence of something."
30,acquire,əˈkwaɪər,verb,B2,to get or obtain something.
31,across,əˈkrɒs,adverb,A2,"from one side to the other of something with clear limits, such as an area of land, a road, or a river."
